nome,telefone,site,endereco,avaliacoes,nota,categoria
Oficina Mecânica Sidnei,(47) 3332-2178,,"Oficina Mecânica Sidnei - R. Rodolfo Gunther - Margem Esquerda, Gaspar - SC, 89114-442",15,4.900000,Auto repair shop
Jc auto mecânica,(47) 99259-3359,,"Jc auto mecânica - R. Alfredo Schramm - Gasparinho, Gaspar - SC, 89112-036",148,4.900000,Auto repair shop
Fipar Auto Mecânica,(47) 3332-1058,,"Fipar Auto Mecânica - R. Dr. Nereu Ramos, 670 - Coloninha, Gaspar - SC, 89110-110",79,4.900000,Auto repair shop
Multi Auto Mecânica - Gaspar,(47) 99747-1830,,"Multi Auto Mecânica - Gaspar - Alameda Inês Baron, 25 - Coloninha, Gaspar - SC, 89110-274",57,4.800000,Car repair and maintenance service
Oficina Mecânica Charles,(47) 3332-2178,,"Oficina Mecânica Charles - Margem Esquerda, Gaspar - SC, 89114-442",26,4.700000,Car repair and maintenance service
Repintura Automotiva Gaspar Grande,(47) 99755-3452,,"Anesso ao Posto - Av. Das Comunidades, 990 - Santa Terezinha, Gaspar - SC, 89110-000",1,5.000000,Auto bodywork mechanic
MECÂNICA SANTA TEREZINHA,(47) 3332-3496,,"MECÂNICA SANTA TEREZINHA - Av. Fr Godofredo Siebert, 1623 - Santa Terezinha, Gaspar - SC, 89110-000",13,4.800000,Auto repair shop
GKF Moto Parts Oficina,(47) 3332-2499,,"GKF Moto Parts Oficina - R. Duque de Caxias, 215 - Centro, Gaspar - SC, 89110-052",150,4.800000,Motorcycle repair shop
Auto Mecânica Carvalho,(47) 3397-1458,https://linktr.ee/mecanicacarvalho,"Auto Mecânica Carvalho - R. Dr. Nereu Ramos, 1316 - Coloninha, Gaspar - SC, 89110-110",30,4.700000,Auto repair shop
Auto Mecânica Marcos em Gaspar,(47) 99679-1515,,"Auto Mecânica Marcos em Gaspar - R. Frei Solano, 1580 - Gasparinho, Gaspar - SC, 89112-070",41,4.900000,Car repair and maintenance service
New Centro Automotivo,(47) 3332-2439,,"New Centro Automotivo - R. Leopoldo Alberto Schramm, 468 - Gaspar Mirim, Gaspar - SC, 89114-442",33,4.600000,Auto repair shop
Kiki Auto Mecânica,(47) 98489-9322,,"Kiki Auto Mecânica - R. Gustavo J. da Costa, 35 - Coloninha, Gaspar - SC, 89110-164",23,5.000000,Car repair and maintenance service
POWERCAR AUTO MECÂNICA,(47) 3332-3800,,"POWERCAR AUTO MECÂNICA - R. Pedro Nicolau, R. Plucenia Maria Isensee, 135 - Gaspar Grande, Gaspar - SC, 89111-279",21,5.000000,Auto repair shop
Auto mecânica Giu,(47) 99670-7367,,"Auto mecânica Giu - R. Frei Solano, 1550 - Gasparinho, Gaspar - SC, 89112-070",13,4.700000,Car repair and maintenance service
Barbearia D’ Blumenau,(47) 99244-7838,https://barbeariadblumenau.com/,"Barbearia D’ Blumenau - Rua Frei Estanislau Schaette, 55 - Velha, Blumenau - SC, 89041-002",66,4.900000,Barber shop
Ramon Dorow Arquitetura de Imagem Masculina,(47) 98401-4732,,"Edificio Alameda Office - R. Cel. Vidal Ramos, 1 - sala402 - Jardim Blumenau, Blumenau - SC, 89010-330",114,5.000000,Barber shop
Barber Concept XXV de Julho,(47) 99965-1330,https://app.frizzar.com.br/p/rijttcv,"Barber Concept XXV de Julho - Rua 25 de Julho, 1032 - Itoupava Norte, Blumenau - SC, 89053-000",137,4.900000,Barber shop
Don Karlo Barbearia,(47) 98862-8997,http://www.cashbarber.com.br/donkarlobarbearia,"Don Karlo Barbearia - R. Humberto de Campos, 77 - sala 18 - Velha, Blumenau - SC, 89036-050",232,4.900000,Barber shop
Barbearia da XV,(47) 99641-5631,https://instagram.com/barbeariadaxvbnu?igshid=MzRlODBiNWFlZA==,"Barbearia da XV - R. São Paulo, 652 - Victor Konder, Blumenau - SC, 89012-000",271,4.800000,Barber shop
Haus Barbearia dos Artistas,(47) 2204-2142,https://sites.appbarber.com.br/en/hausbarbeariaoficial,"Haus Barbearia dos Artistas - R. Alm. Barroso, 45 - Vila Nova, Blumenau - SC, 89035-402",118,5.000000,Barber shop
Barbearia Dom Navalha,(47) 3019-7330,http://domnavalha.com.br/,"Barbearia Dom Navalha - R. Hercílio Fides Zimmermann, 55 - Margem Esquerda, Gaspar - SC, 89116-650",270,4.900000,Barber shop
Barbearia Hunker - Unidade Blumenau,(47) 99600-1406,https://www.hunker.com.br/blumenau,"Barbearia Hunker - Unidade Blumenau - Alameda Rio Branco, 229 - Vila Formosa, Blumenau - SC, 89010-015",291,4.900000,Barber shop
D.O.N. Barber,(47) 2204-2909,http://donbarberbeer.com.br/,"Alameda de serviços - R. 7 de Setembro, 1213 - Centro, Blumenau - SC, 89010-911",364,4.900000,Barber shop
Rosa Du Corte - Barbearia Blumenau,(47) 99210-9647,https://rosaducorte.com.br/,"Rosa Du Corte - Barbearia Blumenau - R. São Paulo, 2866 - Itoupava Seca, Blumenau - SC, 89030-000",421,5.000000,Barber shop
Verv Barbershop,(47) 99249-4349,https://www.vervbarbershop.com.br/,"Verv Barbershop - R. Max Hering, 475 - Sala 03 - Victor Konder, Blumenau - SC, 89012-510",116,5.000000,Barber shop
Barbearia Âncora,(47) 99289-5472,https://www.barbeariaancora.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10229909901018564581,"Barbearia Âncora - R. São Paulo, 240 - Victor Konder, Blumenau - SC, 89012-000",378,4.900000,Barber shop
Lombardis,(47) 3042-1717,,"Lombardis - R. Caetano Deeke, 34 - 2° andar, sala 22 - Centro, Blumenau - SC, 89010-040",108,4.800000,Barber shop
Barba Club Blumenau,(47) 3288-9297,http://sites.appbarber.com.br/bclube,"Barba Club Blumenau - R. Alm. Tamandaré, 888 - Vila Nova, Blumenau - SC, 89035-000",266,4.800000,Barber shop
Sr. N Barbearia,(47) 99652-3503,,"Sr. N Barbearia - R. Francisco Vahldieck, 910 - Fortaleza, Blumenau - SC, 89056-000",365,4.700000,Barber shop
Wagner Luiz Barbearia Blumenau,(47) 99126-2649,https://www.instagram.com/barbearia.wagner/,"Wagner Luiz Barbearia Blumenau - R. Guilherme Poerner, 1281 - Passo Manso, Blumenau - SC, 89032-300",233,5.000000,Barber shop
Auto Mecânica JC Multimarcas,(47) 3323-3421,https://www.automecanicajc.com.br/,"Auto Mecânica JC Multimarcas - R. São Bernardo, 161 - Itoupava Norte, Blumenau - SC, 89052-100",166,4.800000,Auto repair shop
Prime Car Service Blumenau,(47) 98838-4260,https://primemecanica.com/,"Prime Car Service Blumenau - R. Henrique Mette, 21 - Itoupavazinha, Blumenau - SC, 89070-520",41,5.000000,Auto repair shop
Chefinho Oficina Mecânica - Blumenau,(47) 3322-2600,http://www.chefinho.com.br/,"Chefinho Oficina Mecânica - Blumenau - R. Hermann Huscher, 1257 - Vila Formosa, Blumenau - SC, 89023-000",261,4.900000,Auto repair shop
oficina mecanica,(47) 3324-0329,,"oficina mecanica - R. 25 de Janeiro, 540 - Itoupava Norte, Blumenau - SC, 89052-070",13,4.900000,Auto repair shop
Automotive Center Porto Seguro,(47) 99262-5313,http://www.blucaps.com.br/,"Automotive Center Porto Seguro - R. das Missões, 259 - Ponta Aguda, Blumenau - SC, 89051-000",648,4.800000,Auto repair shop
Auto Mecânica Lider,(47) 99254-8498,https://automecanicalider.com.br/,"Auto Mecânica Lider - R. Gustavo Lũders, 96 - Itoupava Norte, Blumenau - SC, 89052-010",55,4.700000,Car repair and maintenance service
Campos D'Itália Peças e Serviços - Oficina mecânica multimarcas,(47) 3323-6301,https://www.instagram.com/camposditalia/,"Campos D'Itália Peças e Serviços - Oficina mecânica multimarcas - R. Fritz Spernau, 1190 - Fortaleza, Blumenau - SC, 89055-200",142,4.900000,Auto repair shop
Duarte Service Car - Mecânica Automotiva,(47) 3237-1000,https://duarteservicecar.taplink.ws/?fbclid=PAZXh0bgNhZW0CMTEAAafHnLMPe_VCZIXPURS3YuRpHLtbowcCfcb1oHCKYYygiv25rFy6wyDiTMeALQ_aem_w-ipsOMEgiEO8v0J2h4dRw,"Duarte Service Car - Mecânica Automotiva - Av. Brasil, 742 - Ponta Aguda, Blumenau - SC, 89050-000",216,4.900000,Auto repair shop
RFORT MECÂNICA AUTOMOTIVA,(47) 98893-1550,https://rfortmecauto.com.br/,"RFORT MECÂNICA AUTOMOTIVA - R. São Paulo, 732 - Victor Konder, Blumenau - SC, 89012-001",216,4.900000,Car repair and maintenance service
Auto Mecânica Oscaneli,(47) 3324-2872,,"Auto Mecânica Oscaneli - R. Eng. Odebrecht, 448 - Garcia, Blumenau - SC, 89021-200",98,4.800000,Car repair and maintenance service
Auto Mecânica Ferreira e Korte,(47) 3288-4939,,"Auto Mecânica Ferreira e Korte - R. das Missões, 827 - Ponta Aguda, Blumenau - SC, 89051-001",62,4.900000,Car repair and maintenance service
TSK Multimarcas Oficina Mecânica,(47) 3326-0646,,"TSK Multimarcas Oficina Mecânica - R. 7 de Setembro, 2405 - Centro, Blumenau - SC, 89012-440",47,4.700000,Car repair and maintenance service
AutoCar Mecânica Multimarcas,(47) 3285-5001,http://www.instagram.com/autocar.blumenau/,"AutoCar Mecânica Multimarcas - R. Itajaí, 1311 - sala 2 - Vorstadt, Blumenau - SC, 89015-200",96,4.700000,Mechanic
Mechanical Workshop Auto Center,(47) 3329-4866,,"Mechanical Workshop Auto Center - R. Elesbão Pinto, 467 - Velha, Blumenau - SC, 89036-260",44,4.300000,Car repair and maintenance service
Auto Mecânica Booss,(47) 3304-6851,,"Auto Mecânica Booss - R. José Deeke, 999 - Escola Agrícola, Blumenau - SC, 89031-401",70,4.800000,Auto repair shop
Auto Mechanics Valerio,(47) 3339-3012,,"Auto Mechanics Valerio - R. Fritz Koegler, 745 - Fortaleza, Blumenau - SC, 89056-100",71,4.700000,Mechanic
Auto Mecânica Mensor - Blumenau,(47) 3323-9324,http://www.mecanicamensor.com.br/,"Auto Mecânica Mensor - Blumenau - Rua Henrique Reif, 723 - Nova Esperança, Blumenau - SC, 89051-300",243,4.800000,Auto repair shop
Auto Mecânica JR,(47) 3326-4264,,"Auto Mecânica JR - R. Rodeio, 153 - Velha, Blumenau - SC, 89012-470",37,4.900000,Auto repair shop
Auto Mecânica Santo Anjo 24hrs.,(47) 99609-5377,,"Auto Mecânica Santo Anjo 24hrs. - R. São Paulo, 3232 - Itoupava Seca, Blumenau - SC, 89030-000",47,4.400000,Auto repair shop
Josmar Mecânica Automotiva,(47) 3338-9693,,"Josmar Mecânica Automotiva - R. São Bernardo, 274 - Itoupava Norte, Blumenau - SC, 89052-100",67,5.000000,Mechanic
Oficina Mecânica Barbosa,(47) 99677-2002,https://minha.ofic.in/a/mb-car-service,"Oficina Mecânica Barbosa - R. Casemiro de Abreu, 52 - Vila Nova, Blumenau - SC, 89035-600",110,4.800000,Auto repair shop
Clinical Cia. Smile Dentistry and Aesthetic,(47) 99229-1210,https://www.clinicaciadosorriso.com.br/,"Clinical Cia. Smile Dentistry and Aesthetic - R. Floriano Peixoto, 18 - 1° Andar - Centro, Blumenau - SC, 89010-022",55,4.800000,Dental clinic
Dr. Paulo Gutierrez | Cirurgião Bucomaxilofacial,(47) 98814-1545,https://www.paulogutierrez.com.br/,"Dr. Paulo Gutierrez | Cirurgião Bucomaxilofacial - R. Paul Hering, 35 - Sala 02 - Centro, Blumenau - SC, 89010-203",61,4.900000,Oral surgeon
Consultório odontológico Blumenau,(47) 3340-0990,,"Consultório odontológico Blumenau - R. São Paulo, 1302 - Victor Konder, Blumenau - SC, 89012-000",50,4.500000,Dental clinic
Centro Odontológico Sorria,(47) 99691-5554,https://centroodontologicosorria.com.br/,"Edifício Classic - R. Dr. Amadeu da Luz, 122 - sala 64 - Centro, Blumenau - SC, 89010-160",1634,5.000000,Dental clinic
OdontoBlumenau,(47) 99164-1110,https://campanhas.opsolucoesdigitais.com.br/odonto-blumenau-implantes-dentarios,"OdontoBlumenau - R. XV de Novembro, 866 - Centro, Blumenau - SC, 89010-000",231,4.500000,Dental clinic
Odontologia Premier - Dentista em Blumenau,(47) 99790-5698,https://odontologiapremier.com.br/,"Odontologia Premier - Dentista em Blumenau - R. João Pessoa, 76 - Centro, Blumenau - SC, 89012-473",1018,4.900000,Dentist
OralWelt - Implantes & Harmonização Facial,(47) 98469-4063,http://www.oralwelt.com.br/,"OralWelt - Implantes & Harmonização Facial - R. XV de Novembro, 456 - Centro, Blumenau - SC, 89010-000",560,4.800000,Dentist
Clínica Odontológica Allos Dental Clinic Blumenau,(47) 99753-8278,https://allosdentalclinic.com/,"Residencial Coral Springs - Alameda Rio Branco, 941 - Sala 01 - Jardim Blumenau, Blumenau - SC, 89010-300",163,5.000000,Dentist
Sorria Sim Clínicas Odontológicas - Blumenau,(47) 99695-6916,https://sorriasimclinicas.com.br/unidade-blumenau/,"Sorria Sim Clínicas Odontológicas - Blumenau - R. XV de Novembro, 518 - Centro, Blumenau - SC, 89010-000",96,4.500000,Dental clinic
Clínica Odontológica Monte Blanco,(47) 99602-5259,http://www.clinicamonteblanco.com.br/,"Clínica Odontológica Monte Blanco - R. XV de Novembro, 717 - F1 - Centro, Blumenau - SC, 89010-001",116,4.900000,Dentist
Oral Implants Unic Blumenau,(47) 3039-8888,https://www.oralunic.com.br/blumenau-sc,"Oral Implants Unic Blumenau - R. 7 de Setembro, 2284 - Centro, Blumenau - SC, 89010-203",233,4.500000,Dental clinic
Dra Carol Souza - Clínica Odontológica,(47) 99195-4099,https://www.instagram.com/dra.carolsouza?igsh=MWRxbjhyY2ptYmExbQ==,"Dra Carol Souza - Clínica Odontológica - R. 7 de Setembro, 777 - Centro, Blumenau - SC, 89010-201",70,5.000000,Dentist
MCM Odontologia | Implantes dentários | Prótese protocolo | Dentista em Blumenau,(47) 3304-3172,https://mcmodontologia.com.br/,"MCM Odontologia | Implantes dentários | Prótese protocolo | Dentista em Blumenau - R. Itaiopolis, 92 - Boa Vista, Blumenau - SC, 89030-016",87,4.900000,Dental clinic
MORDENT - Clínica Odontológica,(47) 3338-1916,http://www.mordent.com.br/,"MORDENT - Clínica Odontológica - R. Dois de Setembro, 4612 - Sala Térrea - Itoupava Norte, Blumenau - SC, 89053-200",278,5.000000,Oral surgeon
Implant Dentistry Center Maison,(47) 3326-6006,http://www.maisonodontologia.com.br/,"Implant Dentistry Center Maison - R. Frederico Guilherme Busch, 44 - Jardim Blumenau, Blumenau - SC, 89010-360",278,4.900000,Dental clinic
COC Implantes - Centro Odontológico Catarinense,(47) 98808-7027,https://cocimplantes.com.br/,"COC Implantes - Centro Odontológico Catarinense - R. Antônio da Veiga, 560 - Victor Konder, Blumenau - SC, 89012-500",82,4.900000,Dentist
Valle Odontologia Integrada,(47) 99224-2325,https://www.valleodontologiaintegrada.com.br/,"Ed. Hass - R. XV de Novembro, 675 - 1º Andar - Centro, Blumenau - SC, 89010-001",72,5.000000,Dentist
Dr Leonardo Machado/ Dentista em Blumenau,(47) 99151-4036,https://www.instagram.com/drleomachadobnu,"ALFRED NOBEL - R. Floriano Peixoto, 275 - SALA 63. ED - Jardim Blumenau, Blumenau - SC, 89010-022",163,5.000000,Dentist
Clínica Odontobite,(47) 3041-3416,https://www.clinicaodontobite.com.br/,"Clínica Odontobite - R. Gen. Osório, 1754 - Velha, Blumenau - SC, 89041-002",59,4.700000,Dental clinic
Catarinense Implantes Blumenau,(47) 99633-1482,https://catarinenseimplantes.com.br/unidade/blumenau,"Catarinense Implantes Blumenau - R. 7 de Setembro, 1335 - Centro, Blumenau - SC, 89010-203",211,5.000000,Dental clinic
Lube Odontologia - Implantes Blumenau,(47) 3326-4998,https://lubeodontologia.my.canva.site/site-lube?fbclid=PAZXh0bgNhZW0CMTEAAac_aRYJ8fkL3Rm2mDryGDoWhgNFLhvMjqhCnb9Mzfd-ChW1W6BJSyFS3uRTKg_aem_ka_JEObKVxyCZsl_TGIwdQ,"Lube Odontologia - Implantes Blumenau - R. Mal. Deodoro, 830 - loja 02 Térreo - Vila Nova, Blumenau - SC, 89035-090",440,5.000000,Dental clinic
Estética Mãos de Fada - Dra. Priscila Farias,(47) 98867-6478,,"Estética Mãos de Fada - Dra. Priscila Farias - R. XV de Novembro, 678 - sala 405- 4 andar - Centro, Blumenau - SC, 89010-000",128,5.000000,Health and beauty shop
Instituto Damiani | Tricologia | Especialista em calvície em Blumenau,(47) 99105-6772,http://institutodamiani.com.br/,"Instituto Damiani | Tricologia | Especialista em calvície em Blumenau - R. Benjamin Constant, 2670 - Sala 11 - Vila Nova, Blumenau - SC, 89035-100",41,5.000000,Hair transplantation clinic
For You Clínica de Estética Avançada,(47) 99778-6538,https://foryouestetica.com.br/,"Tarumã Office - R. 7 de Setembro, 1600 - Sala 807 - Centro, Blumenau - SC, 89010-204",149,4.900000,Health and beauty shop
Clínica de Estética Biosens - Dra Sheila Camargo,(47) 3304-3767,https://www.biosens.com.br/,"Edifício Stein Office - R. 7 de Setembro, 777 - Sala 910 - Centro, Blumenau - SC, 89010-201",35,4.900000,Health and beauty shop
Royal Face Clínica de Estética - Blumenau,(47) 99683-0545,https://royalface.com.br/,"Royal Face Clínica de Estética - Blumenau - R. XV de Novembro, 1122 - Centro, Blumenau - SC, 89010-000",32,5.000000,Health and beauty shop
Clínica Pele & Forma Estética Avançada,(47) 98890-0179,http://www.peleforma.com.br/,"Clínica Pele & Forma Estética Avançada - R. Benjamin Constant, 2459 - sala 05 - Vila Nova, Blumenau - SC, 89035-180",279,4.900000,Health and beauty shop
Renew Estetica Avançada Blumenau,(47) 99196-8525,https://www.instagram.com/renewesteticabnu/,"Renew Estetica Avançada Blumenau - R. Mal. Deodoro, 544 - sala 02 - Velha, Blumenau - SC, 89036-301",89,5.000000,Specialized clinic
Clínica de Estética - Dra. Sofia Lorenzette,(47) 99203-5060,https://api.whatsapp.com/send/?phone=5547992035060&text&type=phone_number&app_absent=0,"Clínica de Estética - Dra. Sofia Lorenzette - R. Cel. Vidal Ramos, 1 - Sala 307 - Jardim Blumenau, Blumenau - SC, 89010-330",23,5.000000,Specialized clinic
Estética Avançada Lussandra Vasselai,(47) 99131-2220,https://lussandravasselai.com/,"Centro Integrado Casa de Blumenau - R. Pref. Frederico Busch Júnior, 132 - Sala 706 - Garcia, Blumenau - SC, 89020-400",37,5.000000,Beautician
"Emporium da Beleza - Blumenau, Clínica de Rejuvenescimento, Ultrassom Microfocado, Emagrecimento, Depilação a Laser",(47) 99126-9291,http://emporiumdabeleza.com.br/,"Emporium da Beleza - Blumenau, Clínica de Rejuvenescimento, Ultrassom Microfocado, Emagrecimento, Depilação a Laser - R. Heinrich Hosang, 605 - Loja 5 - Victor Konder, Blumenau - SC, 89012-190",69,4.200000,Health and beauty shop
Solú | Clínica de Estética Avançada,(47) 99744-2442,,"Edifício Tarumã Office - R. 7 de Setembro, 1600 - sala 808 - Centro, Blumenau - SC, 89010-204",5,5.000000,Specialized clinic
Clínica de Estética New Life,(47) 99980-1658,,"Clínica de Estética New Life - Rua Hermann Tribess, 2377 - Tribess, Blumenau - SC, 89057-301",10,5.000000,Health and beauty shop
Estética Selma Scharf,(47) 98856-5136,https://www.esteticaselmascharf.com.br/,"Estética Selma Scharf - R. Berta Odebrecht, 255 - Garcia, Blumenau - SC, 89020-430",59,5.000000,Health and beauty shop
Estética Naélen Almeida,(47) 99688-1012,https://esteticanaelenalmeida.com.br/,"Estética Naélen Almeida - R. Santarém, n° 156 - Escola Agrícola, Blumenau - SC, 89031-340",221,5.000000,Health and beauty shop
Shirlei Estética Facial e Corporal,(47) 99957-4602,https://wa.me/5547999574602?text=Ol%C3%A1%21+Vim+pelo+perfil+do+Google+e+gostaria+de+saber+mais+sobre+os+tratamentos.,"Shirlei Estética Facial e Corporal - R. Evilásio Oechsler, 244 - Itoupava Norte, Blumenau - SC, 89053-184",62,4.900000,Health and beauty shop
Abelardo Imóveis,(47) 3335-9696,http://www.abelardoimoveis.com.br/,"Abelardo Imóveis - R. Frederico Lübke, 158 - Velha, Blumenau - SC, 89036-418",228,4.700000,Real estate agency
LOBE Imóveis,(47) 3080-0404,http://www.lobeimoveis.com.br/,"LOBE Imóveis - Rua Theodoro Holtrup, 618 - Vila Nova, Blumenau - SC, 89035-300",40,4.700000,Real estate agency
ACRC Real Estate - Our home is your home!,(47) 3322-2868,http://acrcimoveis.com.br/,"Ed. Stein Office - R. 7 de Setembro, 777 - Sala 818 - Centro, Blumenau - SC, 89010-201",685,4.500000,Real estate agency
La Vita Homes Ltd.,(47) 3285-6806,http://www.lavitaimoveis.com.br/,"La Vita Homes Ltd. - R. São Bento, 166 - Vorstadt, Blumenau - SC, 89015-300",634,4.800000,Real estate agency
Conexão Imobiliária - Blumenau - SC,(47) 3331-0700,http://www.imobiliariaconexao.com.br/,"Ambev Tech - Rua Theodoro Holtrup, 982 - 9º andar - Vila Nova, Blumenau - SC, 89035-300",434,4.000000,Real estate agency
Imobiliária Apolo - Blumenau,(47) 3326-8388,https://www.imobiliariaapolo.com.br/,"Imobiliária Apolo - Blumenau - R. XV de Novembro, 550 - Sala 205 - Centro, Blumenau - SC, 89010-000",74,4.900000,Real estate agency
Blumenau Imóveis,(47) 3326-6565,https://blumenauimoveis.com.br/,"Blumenau Imóveis - R. Alfonso Souza e Silva, 131 - Água Verde, Blumenau - SC, 89037-035",153,4.600000,Real estate agency
Imobiliária Tropical,(47) 3222-2222,http://tropical.imb.br/,"Imobiliária Tropical - Alameda Duque de Caxias, 20 - 3º Andar - Centro, Blumenau - SC, 89015-010",383,4.400000,Real estate agency
SHS Imóveis - A Imobiliária Nº1 em Blumenau - Unidade de Locação,(47) 3144-7750,https://www.shsimoveis.com/,"Em frente a praça do teatro Carlos Gomes - R. Pres. John Kennedy, 33 - Centro, Blumenau - SC, 89010-203",296,4.600000,Real estate agency
D3 Imóveis - Imobiliária em Blumenau- SC,(47) 99180-1533,https://www.d3imoveis.com.br/,"D3 Imóveis - Imobiliária em Blumenau- SC - R. Amazonas, 2325 - Sala 01 - Garcia, Blumenau - SC, 89022-000",85,5.000000,Real estate agency
RD IMÓVEIS,(47) 3237-1754,https://www.rdimoveissc.com.br/,"RD IMÓVEIS - R. Daniel Pfaffendorf, 373 - Itoupava Seca, Blumenau - SC, 89030-120",259,4.400000,Real estate agency
Schork Imóveis,(47) 3337-1100,http://www.schorkimoveis.com.br/,"Schork Imóveis - Rua Dr. Pedro Zimmermann, 7480 - Itoupava Central, Blumenau - SC, 89069-000",995,4.100000,Real estate agency
ZELT Imóveis,(47) 3288-4443,http://zelt.com.br/,"ZELT Imóveis - R. Mal. Deodoro, 480 - Sala 2 - Velha, Blumenau - SC, 89036-300",1133,4.700000,Real estate agency
ALLES IMÓVEIS,(47) 3209-7177,http://www.allesimoveis.com.br/,"ALLES IMÓVEIS - R. Içara, 80 - Itoupava Seca, Blumenau - SC, 89030-170",172,4.500000,Real estate agency
Imóveis Vérti - Imobiliária em Blumenau - SC,(47) 3304-9274,http://www.imoveisverti.com.br/,"Imóveis Vérti - Imobiliária em Blumenau - SC - Rua: General Osório, 880 - Loja 05 (Térreo - Velha, Blumenau - SC, 89041-001",41,5.000000,Real estate agency
Concept Real Estate Ltd.,(47) 98455-4434,https://www.conceitoimobiliaria.com.br/,"Concept Real Estate Ltd. - R. Pereira de Oliveira, 49 - Velha, Blumenau - SC, 89036-350",309,4.600000,Real estate agency
La Home Imobiliária,(47) 3378-3991,https://lahomeimobiliaria.com.br/,"La Home Imobiliária - R. Joinville, 880 - Sala 02 - Vila Nova, Blumenau - SC, 89035-200",78,4.900000,Real estate agency
Portal Imóveis - Agência Centro,(47) 3144-5566,https://imoveisportal.com/,"Portal Imóveis - Agência Centro - R. Paulo Zimmermann, 162 - Centro, Blumenau - SC, 89010-170",211,3.700000,Real estate agency
Orbi Imóveis,(47) 3321-4200,https://www.orbi-imoveis.com.br/,"Orbi Imóveis - Av. Brasil, 460 - Ponta Aguda, Blumenau - SC, 89050-000",271,4.500000,Real estate agency
Barbieri Imobiliária,(47) 3340-4203,http://barbieriimobiliaria.com.br/,"Barbieri Imobiliária - R. Humberto de Campos, 400 - Sala 201 - Centro, Blumenau - SC, 89036-050",287,4.700000,Apartment rental agency
Jacinto Imóveis,(47) 3339-1828,http://www.jacintoimoveis.com.br/,"Jacinto Imóveis - R. Francisco Vahldieck, 1453 - Fortaleza, Blumenau - SC, 89057-000",167,4.100000,Real estate agency
Selfit Academias Blumenau,,https://www.selfitacademias.com.br/,"Selfit Academias Blumenau - R. São Paulo, 470 - Victor Konder, Blumenau - SC, 89012-000",44,4.700000,Gym
Force One Academia - Blumenau,(44) 99114-1921,https://forceoneacademia.com.br/unidades/blumenau-sc/,"Force One Academia - Blumenau - R. Humberto de Campos, 77 - Centro, Blumenau - SC, 89012-499",673,4.200000,Gym
Fórmula Academia - Shopping Neumarkt,(47) 3237-0000,http://formulaacademia.com.br/academia?urlAcademia=Shopping-Neumarkt,"Fórmula Academia - Shopping Neumarkt - R. 7 de Setembro, 1213 - Centro, Blumenau - SC, 89010-207",176,4.500000,Gym
Academia Engenharia do Corpo,(47) 98483-2889,https://engenhariadocorpo.com.br/unidade/blumenau/,"Academia Engenharia do Corpo - R. 7 de Setembro, 777 - Centro, Blumenau - SC, 89010-201",494,4.200000,Gym
Master Fitness Club,(47) 3322-4668,,"Master Fitness Club - Alameda Rio Branco, 333 - Vila Formosa, Blumenau - SC, 89010-300",227,4.800000,Gym
ACADEMIA BLUFIT LTDA - ME,(47) 3288-7705,https://m.facebook.com/Blufitacademia,"ACADEMIA BLUFIT LTDA - ME - R. Antônio da Veiga, 650 - Victor Konder, Blumenau - SC, 89012-500",120,4.000000,Gym
Boo Academia,(47) 98482-6015,https://api.whatsapp.com/send?phone=5547984826015,"Boo Academia - R. São Paulo, 2547 - Itoupava Seca, Blumenau - SC, 89030-000",231,4.700000,Gym
Academia Fonte Fitness,(47) 3035-3809,,"Academia Fonte Fitness - R. Pref. Frederico Busch Júnior, 219 - Garcia, Blumenau - SC, 89020-400",65,4.700000,Gym
Speed ​​Time Academy,(47) 3323-3298,https://www.facebook.com/speedtimeacademia/,"Speed ​​Time Academy - R. Dois de Setembro, 2021 - Itoupava Norte, Blumenau - SC, 89052-002",112,4.600000,Gym
Academia AD3 Blumenau - Centro,(48) 98860-7025,https://www.academiaad3.com.br/,"Academia AD3 Blumenau - Centro - R. 7 de Setembro, 1450 - Centro, Blumenau - SC, 89010-202",220,4.500000,Gym
Academia Smart Fit - Blumenau,,https://www.smartfit.com.br/academias/blumenau/?utm_source=google&utm_medium=maps&utm_campaign=fbiz-SBRSCIBLU01,"Academia Smart Fit - Blumenau - Rodovia Paul Fritz Kuehnrich, 1600 - Itoupava Norte, Blumenau - SC, 89052-381",1267,4.400000,Gym
AD3 Gym Blumenau,(48) 99972-3541,https://academiaad3.com.br/,"AD3 Gym Blumenau - R. São Paulo, 1755 - Itoupava Seca, Blumenau - SC, 89030-020",264,4.300000,Gym
AC3 Academia,(47) 3288-8151,,"AC3 Academia - R. Osvaldo Cruz, 140 - Velha, Blumenau - SC, 89036-490",91,4.700000,Gym
Academia AD3 Blumenau - Água Verde,(47) 99734-9732,https://academiaad3.com.br/,"Academia AD3 Blumenau - Água Verde - Rua Frei Estanislau Schaette, 1042 - Água Verde, Blumenau - SC, 89037-002",214,4.500000,Gym
Box Funcional - Functional Training Center,(47) 3232-0475,https://www.boxfuncional.com/,"Box Funcional - Functional Training Center - R. Pereira de Oliveira, 41 - Velha, Blumenau - SC, 89036-350",100,4.900000,Gym
💪 Academia UFit Gaspar - Centro,(47) 99641-0455,,"💪 Academia UFit Gaspar - Centro - R. São Pedro, 89 - Centro, Gaspar - SC, 89110-082",188,4.300000,Gym
