nome,telefone,site,endereco,reviews,nota,rating,categoria,tem_site,segmento_peso,telefone_tipo,whatsapp_telefone,score,site_valido,whatsapp,whatsapp_telefone,agendamento,instagram,formulario,url_final,erro_diagnostico,dor,oferta,tipo_oferta,mensagem
Vet + Pet Clínica Veterinária,(47) 92001-2291,,"Em cima do supermercado top - R. Luiz Franzoi, 250 - 2 andar - sala 2 - Margem Esquerda, Gaspar - SC, 89116-652",86,4.900000,4.9,Veterinarian,nao,35,celular,provavel,115,nao,nao,provavel,nao,nao,nao,,sem_site,nao existe agenda online para consultas e retornos,sistema de agendamento online + lembretes,automacao,"Oi, Vet + Pet Clínica Veterinária, tudo certo? Analisei sua presença digital e percebi que nao existe agenda online para consultas e retornos. Posso te entregar sistema de agendamento online + lembretes por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Clínica Veterinária Castração & Vida,(47) 99210-8404,,"Clínica Veterinária Castração & Vida - Rua Hermann Tribess, 886 - Tribess, Blumenau - SC, 89057-300",74,5.000000,5.0,Veterinarian,nao,35,celular,provavel,115,nao,nao,provavel,nao,nao,nao,,sem_site,nao existe agenda online para consultas e retornos,sistema de agendamento online + lembretes,automacao,"Oi, Clínica Veterinária Castração & Vida, tudo certo? Analisei sua presença digital e percebi que nao existe agenda online para consultas e retornos. Posso te entregar sistema de agendamento online + lembretes por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Loop Academia,(47) 3334-5379,,"Loop Academia - Rua Hermann Tribess, 1300 - Tribess, Blumenau - SC, 89057-300",487,4.900000,4.9,Gym,nao,20,fixo,indefinido,100,nao,nao,indefinido,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Loop Academia, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Full Body Academia Blumenau,(47) 99952-4828,,"Full Body Academia Blumenau - R. Itajaí, 2560 - Vorstadt, Blumenau - SC, 89015-203",420,4.900000,4.9,Gym,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Full Body Academia Blumenau, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Sr. N Barbearia,(47) 99652-3503,,"Sr. N Barbearia - R. Francisco Vahldieck, 910 - Fortaleza, Blumenau - SC, 89056-000",365,4.700000,4.7,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Sr. N Barbearia, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Academia Atitude,(47) 3234-0948,,"Academia Atitude - R. Júlio Michel, 150 - Fortaleza, Blumenau - SC, 89055-000",234,4.700000,4.7,Gym,nao,20,fixo,indefinido,100,nao,nao,indefinido,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Academia Atitude, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Master Fitness Club,(47) 3322-4668,,"Master Fitness Club - Alameda Rio Branco, 333 - Vila Formosa, Blumenau - SC, 89010-300",227,4.800000,4.8,Gym,nao,20,fixo,indefinido,100,nao,nao,indefinido,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Master Fitness Club, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Academia Play Fitness,(47) 99163-1209,,"Academia Play Fitness - R. Francisco Vahldieck, 2390 - Fortaleza, Blumenau - SC, 89057-000",167,4.600000,4.6,Women's personal trainer,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Academia Play Fitness, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
El Mustache Barbearia,(47) 99923-4183,,"El Mustache Barbearia - Av. Das Comunidades, 134 - Centro, Gaspar - SC, 89110-052",162,4.800000,4.8,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, El Mustache Barbearia, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Ct Cleiton Costa,(47) 99711-1227,,"Ct Cleiton Costa - R. Alberto Francisco Junkes, 72 - Santa Terezinha, Gaspar - SC, 89114-238",130,4.800000,4.8,Gym,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Ct Cleiton Costa, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Muscle Academy AB,,,"Muscle Academy AB - R. Francisco Vahldieck, 4550 - Fortaleza Alta, Blumenau - SC, 89058-000",119,4.700000,4.7,Gym,nao,20,desconhecido,desconhecido,100,nao,nao,desconhecido,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Muscle Academy AB, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Bronx BarberShop Gaspar,(47) 3018-2699,,"Bronx BarberShop Gaspar - R. São José, 212 - Centro, Gaspar - SC, 89110-010",114,4.900000,4.9,Barber shop,nao,20,fixo,indefinido,100,nao,nao,indefinido,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Bronx BarberShop Gaspar, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Blulive Academia,(47) 99668-9455,,"Blulive Academia - R. Anfilóquio Nunes Píres, 833 - Figueira, Gaspar - SC, 89110-350",111,4.900000,4.9,Fitness center,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Blulive Academia, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Premier Barber Shop - Fortaleza,(47) 99721-5967,,"Premier Barber Shop - Fortaleza - R. Francisco Vahldieck, 1659 - Fortaleza, Blumenau - SC, 89056-001",105,4.800000,4.8,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Premier Barber Shop - Fortaleza, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Barbearia Xodó,(47) 99284-1981,,"Barbearia Xodó - R. Dr. Nereu Ramos, 345 - Sala 12 - Coloninha, Gaspar - SC, 89110-110",80,5.000000,5.0,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Barbearia Xodó, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
NK Studio FORTALEZA,(47) 99639-4013,,"NK Studio FORTALEZA - R. Francisco Vahldieck, 2687 - Sala 02 - Fortaleza, Blumenau - SC, 89057-000",71,4.900000,4.9,Gym,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, NK Studio FORTALEZA, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Barbearia Boaventura,(47) 99168-2839,,"Barbearia Boaventura - R. Júlio Michel, 405 - Fortaleza, Blumenau - SC, 89055-000",67,4.900000,4.9,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Barbearia Boaventura, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Sr. N Barbearia container,(47) 99754-7912,,"Sr. N Barbearia container - R. Francisco Vahldieck, 1962 - Itoupava Norte, Blumenau - SC, 89053-188",63,4.800000,4.8,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Sr. N Barbearia container, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Academia Like,(47) 3332-9799,,"Academia Like - R. Dr. Nereu Ramos, 591 - Coloninha, Gaspar - SC, 89110-000",59,4.500000,4.5,Gym,nao,20,fixo,indefinido,100,nao,nao,indefinido,nao,nao,nao,,sem_site,o site nao parece transformar visitas em leads ou aulas experimentais,landing page com captura de interessados,landing_page,"Oi, Academia Like, tudo certo? Analisei sua presença digital e percebi que o site nao parece transformar visitas em leads ou aulas experimentais. Posso te entregar landing page com captura de interessados por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Barbearia Barros,(47) 99264-7182,,"Barbearia Barros - R. Júlio Michel, 2550 - Nova Esperança, Blumenau - SC, 89051-600",52,4.900000,4.9,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Barbearia Barros, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Espaço Vip Barbearia,(47) 99249-9074,,"Espaço Vip Barbearia - Rua Heldo Florentino Wan-Dall, 100 - Belchior Central, Gaspar - SC, 89114-442",52,4.800000,4.8,Barber shop,nao,20,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,o canal principal de atendimento pode estar ausente ou pouco evidente,bot de WhatsApp para agendamento e atendimento,automacao,"Oi, Espaço Vip Barbearia, tudo certo? Analisei sua presença digital e percebi que o canal principal de atendimento pode estar ausente ou pouco evidente. Posso te entregar bot de WhatsApp para agendamento e atendimento por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Consultório odontológico Blumenau,(47) 3340-0990,,"Consultório odontológico Blumenau - R. São Paulo, 1302 - Victor Konder, Blumenau - SC, 89012-000",50,4.500000,4.5,Dental clinic,nao,40,fixo,indefinido,100,nao,nao,indefinido,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Consultório odontológico Blumenau, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Dental Clinic - Dr Gustavo Schmitt,(47) 98422-8608,,"Dental Clinic - Dr Gustavo Schmitt - R. Industrial José Beduschi, 200 - Centro, Gaspar - SC, 89110-001",18,4.800000,4.8,Dental clinic,nao,40,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Dental Clinic - Dr Gustavo Schmitt, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Clinica Índigo - Odontolgia e Integralidade,(47) 99107-0913,,"Clinica Índigo - Odontolgia e Integralidade - Rua Itajaí, 7 de Setembro, 630, Gaspar - SC, 89115-001",15,5.000000,5.0,Dentist,nao,40,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,nao foi possivel detectar sinais fortes de automacao no canal principal,landing page simples com WhatsApp e formulario,landing_page,"Oi, Clinica Índigo - Odontolgia e Integralidade, tudo certo? Analisei sua presença digital e percebi que nao foi possivel detectar sinais fortes de automacao no canal principal. Posso te entregar landing page simples com WhatsApp e formulario por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Alles Haus Clínica Odontológica,(47) 98413-9561,,"Alles Haus Clínica Odontológica - R. 7 de Maio, 916 - Itoupava Norte, Blumenau - SC, 89052-050",7,5.000000,5.0,Dental clinic,nao,40,celular,provavel,100,nao,nao,provavel,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Alles Haus Clínica Odontológica, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
University Veterinary Hospital - FURB Blumenau,(47) 3239-6400,,"University Veterinary Hospital - FURB Blumenau - 2802, R. Samuel Morse, 1100 - Fortaleza, Blumenau - SC",30,4.700000,4.7,Veterinarian,nao,35,fixo,indefinido,95,nao,nao,indefinido,nao,nao,nao,,sem_site,nao existe agenda online para consultas e retornos,sistema de agendamento online + lembretes,automacao,"Oi, University Veterinary Hospital - FURB Blumenau, tudo certo? Analisei sua presença digital e percebi que nao existe agenda online para consultas e retornos. Posso te entregar sistema de agendamento online + lembretes por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Thao's Empreendimentos Imobiliários,(47) 99769-7887,,"Thao's Empreendimentos Imobiliários - R. Frei Antônio Moser, 180 - Coloninha, Gaspar - SC, 89110-167",15,5.000000,5.0,Construction company,nao,35,celular,provavel,95,nao,nao,provavel,nao,nao,nao,,sem_site,nao foi possivel detectar sinais fortes de automacao no canal principal,landing page simples com WhatsApp e formulario,landing_page,"Oi, Thao's Empreendimentos Imobiliários, tudo certo? Analisei sua presença digital e percebi que nao foi possivel detectar sinais fortes de automacao no canal principal. Posso te entregar landing page simples com WhatsApp e formulario por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Torresul Imobiliária - Vila Nova,(47) 98811-7788,,"Torresul Imobiliária - Vila Nova - R. Alm. Barroso, 721 - Velha, Blumenau - SC, 89035-400",9,5.000000,5.0,Real estate agency,nao,35,celular,provavel,95,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece capturar leads de forma estruturada,landing page com formulario + integracao com CRM,landing_page,"Oi, Torresul Imobiliária - Vila Nova, tudo certo? Analisei sua presença digital e percebi que o site nao parece capturar leads de forma estruturada. Posso te entregar landing page com formulario + integracao com CRM por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Santos Corretora de Imóveis,(47) 99666-4466,,"próximo da prefeitura. Atrás do coreto - R. Cel. Aristiliano Ramos, 381 - Centro, Gaspar - SC, 89110-064",8,5.000000,5.0,Real estate agency,nao,35,celular,provavel,95,nao,nao,provavel,nao,nao,nao,,sem_site,o site nao parece capturar leads de forma estruturada,landing page com formulario + integracao com CRM,landing_page,"Oi, Santos Corretora de Imóveis, tudo certo? Analisei sua presença digital e percebi que o site nao parece capturar leads de forma estruturada. Posso te entregar landing page com formulario + integracao com CRM por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Centro Odontológico Sorria,(47) 99691-5554,https://centroodontologicosorria.com.br/,"Edifício Classic - R. Dr. Amadeu da Luz, 122 - sala 64 - Centro, Blumenau - SC, 89010-160",1632,5.000000,5.0,Dental clinic,sim,40,celular,sim,90,sim,sim,sim,sim,sim,sim,https://centroodontologicosorria.com.br/,,"a presença digital existe, mas ainda da para aumentar conversao e previsibilidade",landing page de conversao + automacao basica,landing_page,"Oi, Centro Odontológico Sorria, tudo certo? Analisei sua presença digital e percebi que a presença digital existe, mas ainda da para aumentar conversao e previsibilidade. Posso te entregar landing page de conversao + automacao basica por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Oral Unic Implantes Gaspar,(47) 99204-0060,https://oralunicgaspar.com.br/,"Oral Unic Implantes Gaspar - R. Mario Vanzuita, 15 - Centro, Gaspar - SC, 89110-103",1618,4.900000,4.9,Dental clinic,sim,40,celular,sim,90,sim,sim,sim,sim,sim,sim,https://www.oralunic.com.br/gaspar-sc,,"a presença digital existe, mas ainda da para aumentar conversao e previsibilidade",landing page de conversao + automacao basica,landing_page,"Oi, Oral Unic Implantes Gaspar, tudo certo? Analisei sua presença digital e percebi que a presença digital existe, mas ainda da para aumentar conversao e previsibilidade. Posso te entregar landing page de conversao + automacao basica por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
"Maximarques Odontologia - Implantes Dentários, Aparelhos Ortodônticos, Dentista em Gaspar",(47) 3018-1013,https://www.maximarques.com.br/,"Maximarques Odontologia - Implantes Dentários, Aparelhos Ortodônticos, Dentista em Gaspar - Av. Das Comunidades, 430 - Centro, Gaspar - SC, 89110-085",1589,5.000000,5.0,Dentist,sim,40,fixo,indefinido,90,sim,sim,indefinido,nao,sim,sim,https://maximarques.com.br/,,nao foi possivel detectar sinais fortes de automacao no canal principal,landing page simples com WhatsApp e formulario,landing_page,"Oi, Maximarques Odontologia - Implantes Dentários, Aparelhos Ortodônticos, Dentista em Gaspar, tudo certo? Analisei sua presença digital e percebi que nao foi possivel detectar sinais fortes de automacao no canal principal. Posso te entregar landing page simples com WhatsApp e formulario por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
